# scer_disaggregation_recovery_long.txt 
# Generated:  Thu Sep 10 02:25:21 2015 
#
# Citation: 
#    Reversible, specific, active aggregates of endogenous proteins assemble upon heat stress. Edward W.J. Wallace, Jamie L. Kear-Scott, Evgeny V. Pilipenko, Michael H. Schwartz, Pawel R. Laskowski, Alexandra E. Rojek, Christopher D. Katanski, Joshua A. Riback, Michael F. Dion, Alexander M. Franks, Edoardo M. Airoldi, Tao Pan, Bogdan A. Budnik, D. Allan Drummond. Cell, 2015 
# 
# Columns:
#   orf: systematic orf name
#   gene: gene name from SGD
#   experiment: experiment name
#   rep: biological replicate
#   time: minutes post heat-shock
#   n.detections: number of peptide detection events
#   n.peptides: number of unique peptides detected
#   intensity.ctrl: summed intensity for control (unshocked) sample
#   intensity.pre: summed intensity for shocked sample, pre-shock label
#   intensity.post: summed intensity for shocked sample, post-shock label
#   ratio.pre: normalized median ratio pre-shock label to unshocked
#   ratio.post: normalized median ratio post-shock label to unshocked
#   ratio.sum: ratio.pre + ratio.post
# 
orf	gene	experiment	rep	time	n.detections	n.peptides	intensity.ctrl	intensity.pre	intensity.post	ratio.pre	ratio.post	ratio.sum
YBL092W	RPL32	42C10min.30C0min	rep1	0	23	5	115326700	116770740	8443325	1.0308	0.0523	1.0831
YBL092W	RPL32	42C10min.30C60min	rep1	60	15	5	583764000	377648700	45652370	0.9493	0.0815	1.0308
YBL099W	ATP1	42C10min.30C60min	rep1	60	29	19	195754320	101798710	47954045	0.6252	0.2249	0.8501
YBL099W	ATP1	42C10min.30C0min	rep1	0	29	9	80618510	68584410	12046485	0.7211	0.0763	0.7974
YBL099W	ATP1	42C10min.30C20min	rep1	20	31	18	180830410	92657560	8943697.6	0.6814	0.0442	0.7256
YBL105C	PKC1	42C10min.30C60min	rep1	60	1	1	325870	1064500	144350	3.8091	0.5165	4.3257
YBL105C	PKC1	42C10min.30C20min	rep1	20	2	1	936390	568810	94869	0.7881	0.1332	0.9213
YBL107C	MIX23	42C10min.30C20min	rep1	20	1	1	187170	104740	27069	0.725	0.1874	0.9124
YBR006W	UGA2	42C10min.30C20min	rep1	20	1	1	917420	960700	195670	1.3567	0.2763	1.633
YBR011C	IPP1	42C10min.30C0min	rep1	0	51	13	365631908	442301750	47041080.1	0.994	0.0409	1.0349
YBR011C	IPP1	42C10min.30C20min	rep1	20	49	14	658190870	524861480	60184982	0.9945	0.0514	1.0459
YBR011C	IPP1	42C10min.30C60min	rep1	60	59	16	1667600480	1279984140	135069720	0.8651	0.0998	0.9649
YBR017C	KAP104	42C10min.30C20min	rep1	20	3	3	2699410	2770790	231773	1.1656	0.1276	1.2932
YBR017C	KAP104	42C10min.30C60min	rep1	60	4	3	9318800	7369770	1962170	1.0262	0.2043	1.2305
YBR025C	OLA1	42C10min.30C0min	rep1	0	25	12	115095880	18929435	17052570	0.119	0.0865	0.2055
YBR025C	OLA1	42C10min.30C20min	rep1	20	56	21	495912520	198820171	29070849	0.5462	0.1116	0.6578
YBR025C	OLA1	42C10min.30C60min	rep1	60	61	21	649571900	468731750	83963192	0.8322	0.1469	0.9791
YBR026C	ETR1	42C10min.30C0min	rep1	0	2	1	265830	239960	58983	0.7576	0.1863	0.944
YBR026C	ETR1	42C10min.30C60min	rep1	60	6	4	24659800	18472200	4082520	0.9394	0.1772	1.1167
YBR026C	ETR1	42C10min.30C20min	rep1	20	3	2	3202730	2111790	65485	0.7799	0	0.7799
YBR031W	RPL4A	42C10min.30C0min	rep1	0	107	18	999740726	1229218846	62065307.1	0.9999	0.0379	1.0378
YBR031W	RPL4A	42C10min.30C20min	rep1	20	123	16	2634726550	1880686869	90429319.6	0.8976	0.0355	0.9331
YBR031W	RPL4A	42C10min.30C60min	rep1	60	111	18	3672808059	2434446890	249817321.2	0.7847	0.0577	0.8424
YBR034C	HMT1	42C10min.30C20min	rep1	20	6	5	5302310	5125481	616065	0.9781	0.2609	1.239
YBR034C	HMT1	42C10min.30C60min	rep1	60	4	3	16509360	11926620	2811327	0.7016	0.1174	0.819
YBR034C	HMT1	42C10min.30C0min	rep1	0	1	1	315480	320600	306630	0.8529	0.8158	1.6687
YBR035C	PDX3	42C10min.30C20min	rep1	20	16	8	37884650	24288570	2542468	0.8507	0.0792	0.9299
YBR035C	PDX3	42C10min.30C60min	rep1	60	17	9	86056900	69200700	13771850	0.9743	0.1549	1.1292
YBR035C	PDX3	42C10min.30C0min	rep1	0	10	4	12081074	13801780	2777200	0.9111	0.1493	1.0604
YBR039W	ATP3	42C10min.30C60min	rep1	60	3	3	5741800	3434970	623260	0.6444	0.1887	0.833
YBR039W	ATP3	42C10min.30C20min	rep1	20	1	1	1103000	636850	0	0.748	0	0.748
YBR046C	ZTA1	42C10min.30C20min	rep1	20	7	5	2381350	2475220	647854	1.2393	0.388	1.6273
YBR046C	ZTA1	42C10min.30C60min	rep1	60	6	4	13126680	10262510	2576780	1.1357	0.2865	1.4222
YBR046C	ZTA1	42C10min.30C0min	rep1	0	1	1	248230	128850	11360000	0.4357	38.4106	38.8463
YBR049C	REB1	42C10min.30C60min	rep1	60	5	3	12105624	8252310	476714	0.8997	0.1853	1.0851
YBR049C	REB1	42C10min.30C20min	rep1	20	5	5	3879710	1550050	239973.3	0.6937	0.0821	0.7759
YBR049C	REB1	42C10min.30C0min	rep1	0	1	1	68857	742080	492150	9.0454	5.999	15.0444
YBR053C	NA	42C10min.30C20min	rep1	20	2	2	2311710	1300820	64462	1.0194	0.1326	1.152
YBR053C	NA	42C10min.30C60min	rep1	60	3	3	24806000	22195300	5276080	1.0756	0.2333	1.3089
YBR056W	NA	42C10min.30C60min	rep1	60	3	3	6359660	4095570	2207928	0.6455	0.2663	0.9118
YBR056W	NA	42C10min.30C20min	rep1	20	2	2	597620	485950	86049	1.0623	0.1991	1.2615
YBR056W	NA	42C10min.30C0min	rep1	0	3	1	579131	445909	9954.8	0.6582	0.0235	0.6817
YBR058C	UBP14	42C10min.30C20min	rep1	20	4	4	2402650	1188400	97809	0.6299	0.05	0.6799
YBR058C	UBP14	42C10min.30C60min	rep1	60	4	3	13988100	15901400	11141920	1.1377	0.8114	1.9491
YBR058C	UBP14	42C10min.30C0min	rep1	0	4	1	2421550	2317650	53794.8	0.7904	0.0255	0.8159
YBR059C	AKL1	42C10min.30C20min	rep1	20	2	2	1535610	1528840	447570	1.1791	0.4781	1.6572
YBR059C	AKL1	42C10min.30C60min	rep1	60	2	1	13288200	11529700	3088900	1.0238	0.2728	1.2966
YBR059C	AKL1	42C10min.30C0min	rep1	0	1	1	943330	856140	7809.9	0.7617	0.0069	0.7687
YBR061C	TRM7	42C10min.30C60min	rep1	60	3	2	1469710	1507970	83341.1	1.2741	0.0835	1.3576
YBR062C	NA	42C10min.30C20min	rep1	20	1	1	370250	122920	0	0.4301	0	0.4301
YBR063C	NA	42C10min.30C60min	rep1	60	1	1	6577200	5044200	167600	0.8943	0.0297	0.924
YBR069C	TAT1	42C10min.30C20min	rep1	20	2	1	182615	116170	9692.8	0.8323	0.0735	0.9057
YBR069C	TAT1	42C10min.30C60min	rep1	60	1	1	149570	79065	0	0.6164	0	0.6164
YBR072W	HSP26	42C10min.30C60min	rep1	60	9	7	18393360	61110900	36078540	3.4673	2.8223	6.2896
YBR073W	RDH54	42C10min.30C20min	rep1	20	1	1	39076	31663	2136.1	1.0498	0.0708	1.1206
YBR073W	RDH54	42C10min.30C60min	rep1	60	1	1	264080	144650	34662	0.6387	0.1531	0.7918
YBR078W	ECM33	42C10min.30C20min	rep1	20	4	3	30352900	17305900	3275570	0.7501	0.1585	0.9086
YBR078W	ECM33	42C10min.30C60min	rep1	60	5	3	50928900	32258700	9551600	0.6669	0.2091	0.876
YBR078W	ECM33	42C10min.30C0min	rep1	0	2	1	6806640	5327670	639990	0.6172	0.0444	0.6616
YBR079C	RPG1	42C10min.30C20min	rep1	20	40	25	114569661	89546621	17854076.3	0.9233	0.1171	1.0404
YBR079C	RPG1	42C10min.30C60min	rep1	60	36	23	161769030	122030230	30260742	0.7829	0.1479	0.9308
YBR079C	RPG1	42C10min.30C0min	rep1	0	22	10	35213117.9	36380080	6310507	0.7155	0.0824	0.7979
YBR080C	SEC18	42C10min.30C20min	rep1	20	1	1	455250	278230	86377	0.7918	0.2458	1.0376
YBR080C	SEC18	42C10min.30C60min	rep1	60	2	2	5916820	3468890	1172090	0.7044	0.2033	0.9077
YBR080C	SEC18	42C10min.30C0min	rep1	0	2	1	1857900	2591300	575330	1.2813	0.2706	1.552
YBR082C	UBC4	42C10min.30C0min	rep1	0	2	1	2152150	2835070	537130	1.1037	0.1941	1.2978
YBR082C	UBC4	42C10min.30C20min	rep1	20	4	2	34070200	22602400	4678650	0.847	0.2137	1.0607
YBR082C	UBC4	42C10min.30C60min	rep1	60	4	2	46273100	45232700	9624700	1.1209	0.2723	1.3932
YBR084C-A	RPL19A	42C10min.30C0min	rep1	0	48	7	500275685	577858332	37827424.9	0.9701	0.0321	1.0022
YBR084C-A	RPL19A	42C10min.30C20min	rep1	20	40	10	850607330	634895710	28617352	0.8996	0.0314	0.9309
YBR084C-A	RPL19A	42C10min.30C60min	rep1	60	38	11	1183978490	818565690	73759597	0.7999	0.0678	0.8677
YBR084W	MIS1	42C10min.30C20min	rep1	20	17	11	42723420	33073171	1352472.4	0.9124	0.0125	0.9249
YBR084W	MIS1	42C10min.30C60min	rep1	60	13	12	28660380	20774100	2511624	0.9153	0.0908	1.0062
YBR084W	MIS1	42C10min.30C0min	rep1	0	6	4	6719601	8114860	623715	0.9636	0.0926	1.0563
YBR085C-A	NA	42C10min.30C0min	rep1	0	4	2	2020750	2295640	1194096	1.0985	0.5733	1.6718
YBR085C-A	NA	42C10min.30C20min	rep1	20	7	4	17549890	9044760	4153440	1.2231	0.3264	1.5495
YBR085C-A	NA	42C10min.30C60min	rep1	60	4	4	46724700	33940500	20569540	0.9313	0.4964	1.4277
YBR088C	POL30	42C10min.30C60min	rep1	60	19	11	155488400	109094900	25320440	0.8122	0.1194	0.9316
YBR088C	POL30	42C10min.30C20min	rep1	20	19	10	50929890	38161800	17872889	0.992	0.0922	1.0843
